source_type,number,author,title,year,source_report,primary_batch,secondary_batches,status,structure_verification,source_verification,content_verification,verification_reason,validation_issues,enhanced_reports,master_number,note
book,0019,Ami Ayalon,The Arabic Print Revolution Cultural Production and Mass Readership,2016,01-book-report/0019 - Ami Ayalon：《The Arabic Print Revolution Cultural Production and Mass Readership》.深度报告.md,Batch 07,Batch 05、Batch 04,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0019-Ami-Ayalon-The-Arabic-Print-Revolution-enhanced.md,,
book,0020,Andrew Feenberg,Transforming Technology A Critical Theory Revisited,待核定,01-book-report/0020 - Andrew Feenberg：《Transforming Technology A Critical Theory Revisited》.深度报告.md,Batch 07,Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0020-Andrew-Feenberg-Transforming-Technology-A-Critical-Theory-Revisited-enhanced.md,,
book,0021,Anne Massey,Interior Design of the 20th Century,1990,01-book-report/0021 - Anne Massey：《Interior Design of the 20th Century》，1990.深度报告.md,Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0022,"Anthony Dunne, Fiona Raby",Design Noir The Secret Life of Electronic Objects,待核定,"01-book-report/0022 - Anthony Dunne, Fiona Raby：《Design Noir The Secret Life of Electronic Objects》.深度报告.md",Batch 04,Batch 06,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0023,"Anthony Dunne, Fiona Raby","Speculative Everything Design, Fiction, and Social Dreaming",2013,"01-book-report/0023 - Anthony Dunne, Fiona Raby：《Speculative Everything Design, Fiction, and Social Dreaming》，2013.深度报告.md",Batch 06,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0024,Anthony Dunne,"Hertzian Tales Electronic Products, Aesthetic Experience, and Critical Design",2005,"01-book-report/0024 - Anthony Dunne：《Hertzian Tales Electronic Products, Aesthetic Experience, and Critical Design》，2005.深度报告.md",Batch 07,Batch 04、Batch 06,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0025,Anthony Dunne,"Speculative Everything Design, Fiction, and Social Dreaming",待核定,"01-book-report/0025 - Anthony Dunne：《Speculative Everything Design, Fiction, and Social Dreaming》.深度报告.md",Batch 06,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0026,Apollonio,Futurist manifestos,待核定,01-book-report/0026 - Apollonio：《Futurist manifestos》.深度报告.md,UNCLASSIFIED,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0027,"Appadurai, Arjun (ed.)","The Social Life of Things：Commodities in Cultural Perspective, 1986",1986,"01-book-report/0027 - Appadurai, Arjun (ed.)：The Social Life of Things：Commodities in Cultural Perspective, 1986.深度报告.md",Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0028,Armin Hofmann D. Q. Stephenson,Graphic Design Manual Principles and Practice,待核定,01-book-report/0028 - Armin Hofmann D. Q. Stephenson：《Graphic Design Manual Principles and Practice》.深度报告.md,Batch 05,Batch 03,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0028-Armin-Hofmann-Graphic-Design-Manual-enhanced.md,,
book,0029,Arthur A. Cohen,Herbert Bayer The Complete Work,1984,01-book-report/0029 - Arthur A. Cohen：《Herbert Bayer The Complete Work》，1984.深度报告.md,Batch 02,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0030,Arthur J. Pulos,American design ethic a history of industrial design to 1940,1940,01-book-report/0030 - Arthur J. Pulos：《American design ethic a history of industrial design to 1940》.深度报告.md,Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0031,Arturo Escobar,"Designs for the Pluriverse Radical Interdependence, Autonomy, and the Making of Worlds",2018,"01-book-report/0031 - Arturo Escobar：《Designs for the Pluriverse Radical Interdependence, Autonomy, and the Making of Worlds》，2018.深度报告.md",Batch 07,Batch 06,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0032,Arturo Escobar,Designs for the Pluriverse，2018,2018,01-book-report/0032 - Arturo Escobar：《Designs for the Pluriverse，2018》.深度报告.md,Batch 07,Batch 06,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0033,Arwas,Art deco,待核定,01-book-report/0033 - Arwas：《Art deco》.深度报告.md,Batch 02,Batch 04、Batch 07,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0034,"Aslin, Elizabeth",The aesthetic movement prelude to Art Nouveau,待核定,"01-book-report/0034 - Aslin, Elizabeth：《The aesthetic movement prelude to Art Nouveau》.深度报告.md",Batch 04,Batch 02,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0035,Attfield,"A View from the interior feminism, women, and design",待核定,"01-book-report/0035 - Attfield：《A View from the interior feminism, women, and design》.深度报告.md",Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0036,Batchen,Burning with desire the conception of photography,待核定,01-book-report/0036 - Batchen：《Burning with desire the conception of photography》.深度报告.md,Batch 06,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0037,"Bauer, Arnold J","Goods, power, history Latin Americas material culture",待核定,"01-book-report/0037 - Bauer, Arnold J：《Goods, power, history Latin Americas material culture》.深度报告.md",Batch 07,Batch 04,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0037-Arnold-J-Bauer-Goods-Power-History-enhanced.md,,
book,0038,Beaumont Newhall,The History of Photography,待核定,01-book-report/0038 - Beaumont Newhall：《The History of Photography》.深度报告.md,Batch 05,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0038-Beaumont-Newhall-The-History-of-Photography-enhanced.md,,
book,0039,"Beckert, Sven","Empire of Cotton：A Global History, 2014",2014,"01-book-report/0039 - Beckert, Sven：Empire of Cotton：A Global History, 2014.深度报告.md",Batch 07,Batch 04,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0039-Sven-Beckert-Empire-of-Cotton-enhanced.md,,
book,0040,Ben Shneiderman,Human-Centered AI,2022,01-book-report/0040 - Ben Shneiderman：《Human-Centered AI》.深度报告.md,Batch 06,Batch 07,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0040-Ben-Shneiderman-Human-Centered-AI-enhanced.md,,
book,0041,Bernard Tschumi,Architecture and disjunction,待核定,01-book-report/0041 - Bernard Tschumi：《Architecture and disjunction》.深度报告.md,Batch 02,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0042,"Between Wit and Reason_ Defining Associative, Speculative,","Malpass, Matt（Cent",待核定,"01-book-report/0042 - Between Wit and Reason_ Defining Associative, Speculative, -- Malpass, Matt（Cent.深度报告.md",Batch 04,Batch 06,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0043,Bevis Hillier,Art Deco of the 20s and 30s,待核定,01-book-report/0043 - Bevis Hillier：《Art Deco of the 20s and 30s》.深度报告.md,Batch 02,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0044,"Bijker, Wiebe E.",OF BICYCLES BAKELITES AND BULBS,待核定,"01-book-report/0044 - Bijker, Wiebe E.：《OF BICYCLES BAKELITES AND BULBS》.深度报告.md",Batch 06,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0044-Wiebe-E-Bijker-Of-Bicycles-Bakelites-and-Bulbs-enhanced.md,,
book,0045,Bill Moggridge,Designing Interactions,2007,01-book-report/0045 - Bill Moggridge：《Designing Interactions》，2007.深度报告.md,Batch 06,Batch 04,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0046,Bipan Chandra,《The rise and growth of economic nationalism in India economic pol,待核定,01-book-report/0046 - Bipan Chandra：《The rise and growth of economic nationalism in India economic pol.深度报告.md,UNCLASSIFIED,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0047,"Blotkamp, Carel; et al.","De Stijl：The Formative Years, 1917-1922, 1986",1986,"01-book-report/0047 - Blotkamp, Carel; et al.：De Stijl：The Formative Years, 1917-1922, 1986.深度报告.md",Batch 04,Batch 02,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0048,"Bonython, Elizabeth; Burton, Anthony","The Great Exhibitor：The Life and Work of Henry Cole, 2003",2003,"01-book-report/0048 - Bonython, Elizabeth; Burton, Anthony：The Great Exhibitor：The Life and Work of Henry Cole, 2003.深度报告.md",UNCLASSIFIED,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0049,Brad Frost,Atomic Design,待核定,01-book-report/0049 - Brad Frost：《Atomic Design》.深度报告.md,Batch 04,Batch 06,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0050,Bret Easton Ellis,White,2019,01-book-report/0050 - Bret Easton Ellis：《White》，2019.深度报告.md,Batch 07,Batch 06,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0051,"Briggs, Asa",Victorian things,待核定,"01-book-report/0051 - Briggs, Asa：《Victorian things》.深度报告.md",Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0052,Brigitte Borja de Mozota,Design Management Using Design to Build Brand Value and Corporate Innovation,2003,01-book-report/0052 - Brigitte Borja de Mozota：《Design Management Using Design to Build Brand Value and Corporate Innovation》，2003.深度报告.md,Batch 04,Batch 06,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0053,待核定,"Bringing design to software (Terry Winograd, (ed.))",待核定,"01-book-report/0053 - Bringing design to software (Terry Winograd, (ed.)).深度报告.md",Batch 06,Batch 03,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0053-Terry-Winograd-Bringing-Design-to-Software-enhanced.md,,
book,0054,Bruno Latour,We Have Never Been Modern,1991,01-book-report/0054 - Bruno Latour：《We Have Never Been Modern》，1991.深度报告.md,Batch 02,Batch 04、Batch 06,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0055,待核定,"BUCHANAN, RICHARD. Branzi",待核定,"01-book-report/0055 - BUCHANAN, RICHARD. Branzi.深度报告.md",Batch 02,Batch 06,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0056,"Buddensieg, Tilmann; Rogge, Henning","Industriekultur Peter Behrens and the AEG, 1907-1914",1914,"01-book-report/0056 - Buddensieg, Tilmann; Rogge, Henning：《Industriekultur Peter Behrens and the AEG, 1907-1914》.深度报告.md",Batch 06,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0057,By Edgar Kaufmann,Introduction To Modern Design,待核定,01-book-report/0057 - By Edgar Kaufmann：《Introduction To Modern Design》.深度报告.md,Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0058,Cairo,The functional art an introduction to information graphics and visualization,待核定,01-book-report/0058 - Cairo：《The functional art an introduction to information graphics and visualization》.深度报告.md,Batch 06,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0059,Calhoun,"Critical social theory culture, history, and the challenge of difference",待核定,"01-book-report/0059 - Calhoun：《Critical social theory culture, history, and the challenge of difference》.深度报告.md",Batch 06,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0060,"Campbell, Joan",The German Werkbund the politics of reform in the applied arts,待核定,"01-book-report/0060 - Campbell, Joan：《The German Werkbund the politics of reform in the applied arts》.深度报告.md",UNCLASSIFIED,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0061,Carl DiSalvo,Adversarial Design,待核定,01-book-report/0061 - Carl DiSalvo：《Adversarial Design》.深度报告.md,Batch 07,Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0061-Carl-DiSalvo-Adversarial-Design-enhanced.md,,
book,0062,Carroll Gantz,Founders of American Industrial Design,2014,01-book-report/0062 - Carroll Gantz：《Founders of American Industrial Design》，2014.深度报告.md,Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0063,"Carter, Sebastian","Twentieth Century Type Designers, 1987",1987,"01-book-report/0063 - Carter, Sebastian：Twentieth Century Type Designers, 1987.深度报告.md",Batch 05,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0063-Sebastian-Carter-Twentieth-Century-Type-Designers-enhanced.md,,
book,0064,Catherine Cooke,"Russian Avant-Garde Theories of Art, Architecture and the City",1995,"01-book-report/0064 - Catherine Cooke：《Russian Avant-Garde Theories of Art, Architecture and the City》，1995.深度报告.md",Batch 02,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0065,"Catriona Kelly, David Shepherd","Constructing Russian culture in the age of revolution, 1881-1940",1940,"01-book-report/0065 - Catriona Kelly, David Shepherd：《Constructing Russian culture in the age of revolution, 1881-1940》.深度报告.md",Batch 02,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0066,"Charles Harvey, Jon Press",William Morris design and enterprise in Victorian England,待核定,"01-book-report/0066 - Charles Harvey, Jon Press：《William Morris design and enterprise in Victorian England》.深度报告.md",Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0067,Charles Jencks,The Language of Post-Modern Architecture,1977,01-book-report/0067 - Charles Jencks：《The Language of Post-Modern Architecture》，1977.深度报告.md,Batch 02,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0068,"Charles, Victoria","Neoclassicism, 2019",2019,"01-book-report/0068 - Charles, Victoria：Neoclassicism, 2019.深度报告.md",UNCLASSIFIED,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0069,"Charlotte Benton, Tim Benton",Art Deco 1910–1939,1939,"01-book-report/0069 - Charlotte Benton, Tim Benton：《Art Deco 1910–1939》.深度报告.md",Batch 02,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0070,"Charlotte Fiell, Peter Fiell",1000 Chairs,待核定,"01-book-report/0070 - Charlotte Fiell, Peter Fiell：《1000 Chairs》.深度报告.md",Batch 02,Batch 04,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0071,"Charlotte Fiell, Peter Fiell",Design of the 20th Century,1999,"01-book-report/0071 - Charlotte Fiell, Peter Fiell：《Design of the 20th Century》，1999.深度报告.md",Batch 04,Batch 03,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0072,"Charlotte Fiell, Peter Fiell",Scandinavian Design,2002,"01-book-report/0072 - Charlotte Fiell, Peter Fiell：《Scandinavian Design》，2002.深度报告.md",Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0073,Chermayeff,《Identify. Basic Principles of Identity Design in the Iconic Trademar,待核定,01-book-report/0073 - Chermayeff：《Identify. Basic Principles of Identity Design in the Iconic Trademar.深度报告.md,Batch 06,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0074,Chris Calori,《Signage and Wayfinding Design A Complete Guide to Creating Environ,待核定,01-book-report/0074 - Chris Calori：《Signage and Wayfinding Design A Complete Guide to Creating Environ.深度报告.md,Batch 05,Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0074-Chris-Calori-Signage-and-Wayfinding-Design-enhanced.md,,
book,0075,Christopher A. Reed,"Gutenberg in Shanghai Chinese Print Capitalism, 1876-1937",1937,"01-book-report/0075 - Christopher A. Reed：《Gutenberg in Shanghai Chinese Print Capitalism, 1876-1937》.深度报告.md",Batch 05,Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0075-Christopher-A-Reed-Gutenberg-in-Shanghai-enhanced.md,,
book,0076,Christopher Breward,The Culture of Fashion A New History of Fashionable Dress,1995,01-book-report/0076 - Christopher Breward：《The Culture of Fashion A New History of Fashionable Dress》，1995.深度报告.md,Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0077,Christopher Burke,"Isotype Design and Contexts, 1925-1971",1971,"01-book-report/0077 - Christopher Burke：《Isotype Design and Contexts, 1925-1971》.深度报告.md",Batch 05,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0077-Christopher-Burke-Isotype-Design-and-Contexts-1925-1971-enhanced.md,,
book,0078,Christopher Pinney,Camera Indica The Social Life of Indian Photographs,待核定,01-book-report/0078 - Christopher Pinney：《Camera Indica The Social Life of Indian Photographs》.深度报告.md,Batch 07,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0079,Clive Dilnot,"A John Heskett Reader Design, History, Economics",待核定,"01-book-report/0079 - Clive Dilnot：《A John Heskett Reader Design, History, Economics》.深度报告.md",Batch 04,Batch 06,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0080,Cole Nussbaumer Knaflic,Storytelling with Data,待核定,01-book-report/0080 - Cole Nussbaumer Knaflic：《Storytelling with Data》.深度报告.md,Batch 04,Batch 05、Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0080-Cole-Nussbaumer-Knaflic-Storytelling-with-Data-enhanced.md,,
book,0081,Colleen E. Kriger,Cloth in West African History,待核定,01-book-report/0081 - Colleen E. Kriger：《Cloth in West African History》.深度报告.md,Batch 06,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0082,Contextual Design_ Defining Customer-Centered Systems,"Beyer, Hugh, Holtzblatt",待核定,"01-book-report/0082 - Contextual Design_ Defining Customer-Centered Systems -- Beyer, Hugh, Holtzblatt.深度报告.md",Batch 06,Batch 03,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0082-Beyer-Holtzblatt-Contextual-Design-Defining-Customer-Centered-Systems-enhanced.md,,
book,0083,"Cooke, Catherine","Architectural Drawings of the Russian Avant-Garde, 1990",1990,"01-book-report/0083 - Cooke, Catherine：Architectural Drawings of the Russian Avant-Garde, 1990.深度报告.md",Batch 02,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
